domain,lead_band,transition_type,transition_area_km2,valid_area_km2,area_fraction_of_valid_grid_days
kara,L16-30,miz_to_open_water,391779088.3443131,3776212458.1479783,0.1037492176847642
kara,L16-30,open_water_to_compact_ice,6309186.059203735,3776212458.1479783,0.0016707709455251463
kara,L16-30,open_water_to_miz,92828463.3833665,3776212458.1479783,0.024582426018713386
kara,L6-15,compact_ice_to_miz,45412866.88147242,2517474972.0986524,0.01803905396668739
kara,L6-15,compact_ice_to_open_water,1356929.8920909534,2517474972.0986524,0.0005390043226367294
kara,L6-15,miz_to_compact_ice,20323839.464935165,2517474972.0986524,0.008073104873011916
kara,L6-15,miz_to_open_water,159518863.45253283,2517474972.0986524,0.06336462734306848
kara,L6-15,open_water_to_compact_ice,519340.0959285854,2517474972.0986524,0.00020629404529715975
kara,L6-15,open_water_to_miz,27885215.32631852,2517474972.0986524,0.01107666039796712
laptev,L1-5,compact_ice_to_miz,22715256.99253288,1111228082.6465883,0.02044157931865116
laptev,L1-5,compact_ice_to_open_water,0.0,1111228082.6465883,0.0
laptev,L1-5,miz_to_compact_ice,19120486.3371293,1111228082.6465883,0.01720662628646897
laptev,L1-5,miz_to_open_water,24669725.175797608,1111228082.6465883,0.022200415523195065
laptev,L1-5,open_water_to_compact_ice,0.0,1111228082.6465883,0.0
laptev,L1-5,open_water_to_miz,10958564.905271823,1111228082.6465883,0.009861670233506016
laptev,L16-30,compact_ice_to_miz,144083179.7689964,3333684247.9397645,0.043220403929388515
laptev,L16-30,compact_ice_to_open_water,9121724.756021278,3333684247.9397645,0.002736229371950434
laptev,L16-30,miz_to_compact_ice,244043831.75445628,3333684247.9397645,0.07320544286858503
laptev,L16-30,miz_to_open_water,303062033.2670657,3333684247.9397645,0.09090903958716538
laptev,L16-30,open_water_to_compact_ice,29151547.20072771,3333684247.9397645,0.008744543583797275
laptev,L16-30,open_water_to_miz,172692327.54980013,3333684247.9397645,0.05180224481563452
laptev,L6-15,compact_ice_to_miz,87952474.95524801,2222456165.2931767,0.03957444755435512
laptev,L6-15,compact_ice_to_open_water,676572.4746792801,2222456165.2931767,0.0003044255653924358
laptev,L6-15,miz_to_compact_ice,83570257.9280553,2222456165.2931767,0.03760265747110071
laptev,L6-15,miz_to_open_water,132430216.6643924,2222456165.2931767,0.05958732448022109
laptev,L6-15,open_water_to_compact_ice,958959.5260672632,2222456165.2931767,0.00043148636227016945
laptev,L6-15,open_water_to_miz,48306000.734368585,2222456165.2931767,0.02173541214838596
