domain,classification_basis,experiment_id,model,analysis_family,category,lead_band,rmse_mean,n_initializations,mean_area_km2
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_sit_class,thick_ice,L16-30,0.1196538511799785,282,1480429.5343478026
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_sit_class,thick_ice,L6-15,0.0863902624334528,282,1480429.5343478026
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_sit_class,thin_ice,L1-5,0.089157383695383,282,918965.2008312476
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_sit_class,thin_ice,L16-30,0.2139050768107006,282,918965.2008312476
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_sit_class,thin_ice,L6-15,0.1630984600560621,282,918965.2008312476
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_sit_x_wind,medium_thick_ice__high_upper_tail_wind,L1-5,0.0592371431711484,282,1337477.2418006244
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_sit_x_wind,medium_thick_ice__high_upper_tail_wind,L16-30,0.1521995843281236,282,1337477.2418006244
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_sit_x_wind,medium_thick_ice__high_upper_tail_wind,L6-15,0.1087175919871114,282,1337477.2418006244
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_sit_x_wind,medium_thick_ice__lower_middle_wind,L1-5,0.0580389358848711,282,3330181.6730564884
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_sit_x_wind,medium_thick_ice__lower_middle_wind,L16-30,0.1572455779682652,282,3330181.673056488
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_sit_x_wind,medium_thick_ice__lower_middle_wind,L6-15,0.1091783336506605,282,3330181.6730564884
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_sit_x_wind,thin_ice__high_upper_tail_wind,L1-5,0.0957525034826038,282,230521.85458915625
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_sit_x_wind,thin_ice__high_upper_tail_wind,L16-30,0.2113892875310944,282,230521.85458915625
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_sit_x_wind,thin_ice__high_upper_tail_wind,L6-15,0.1649152406876496,282,230521.85458915625
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_sit_x_wind,thin_ice__lower_middle_wind,L1-5,0.0863655071147794,282,688443.346242086
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_sit_x_wind,thin_ice__lower_middle_wind,L16-30,0.212843648914076,282,688443.346242086
pan_arctic,initial_date_condition,2023_2025_ver2,Three-model equal mean,initial_sit_x_wind,thin_ice__lower_middle_wind,L6-15,0.1615529238288314,282,688443.346242086
